10000;558.333
20000;1158.67
40000;2342.33
80000;4977
160000;9859.67
320000;23260.7
640000;47230
10000;35504.7
20000;132159
40000;531669
80000;2.16904e+06
160000;8.05822e+06
320000;2.94721e+07
640000;1.15883e+08
10000;33436.7
20000;132286
40000;500135
80000;1.48557e+06
160000;3.07486e+06
320000;6.01398e+06
640000;1.25206e+07
10000;524.333
20000;1111.33
40000;2316.33
80000;4798
160000;10073
320000;21421
640000;47809.7
10000;675
20000;1415
40000;2713.67
80000;4910.33
160000;11167.7
320000;23984.3
640000;58363.3
