10000;10721
20000;43142.8
40000;174614
80000;691870
160000;2.79863e+06
320000;1.11244e+07
640000;4.45819e+07
10000;5
20000;10.2
40000;22.6
80000;44.4
160000;94
320000;191.8
640000;384.2
10000;21755.6
20000;87318
40000;346795
80000;1.38655e+06
160000;5.62521e+06
320000;2.22107e+07
640000;8.9635e+07
10000;9597.8
20000;39043
40000;155331
80000;624061
160000;2.4901e+06
320000;9.95291e+06
640000;3.9757e+07
10000;6096.6
20000;24431.2
40000;96854.2
80000;390759
160000;1.54738e+06
320000;6.20733e+06
640000;2.48988e+07
