10000;13724.7
20000;54709
40000;222811
80000;897246
160000;3.53912e+06
320000;1.4213e+07
640000;5.69531e+07
10000;8
20000;15.3333
40000;35
80000;65.3333
160000;154
320000;269.667
640000;540
10000;27300.3
20000;113323
40000;450429
80000;1.79079e+06
160000;7.10294e+06
320000;2.84748e+07
640000;1.14213e+08
10000;12368.7
20000;49971.7
40000;196813
80000;793258
160000;3.15931e+06
320000;1.25857e+07
640000;5.04232e+07
10000;8067.67
20000;30119
40000;124451
80000;493193
160000;1.96434e+06
320000;7.87946e+06
640000;3.15518e+07
