10000;14092.7
20000;60961.3
40000;242347
80000;924394
160000;3.73215e+06
320000;1.45294e+07
640000;5.81327e+07
10000;10
20000;16
40000;34
80000;76
160000;144.667
320000;296.667
640000;639.333
10000;29887.3
20000;112000
40000;450417
80000;1.8283e+06
160000;7.29218e+06
320000;2.92714e+07
640000;1.1683e+08
10000;13129
20000;52681.3
40000;204020
80000;806882
160000;3.2365e+06
320000;1.29705e+07
640000;5.19726e+07
10000;8322.67
20000;30627.3
40000;124572
80000;511414
160000;1.99873e+06
320000;8.02718e+06
640000;3.23976e+07
