40000;6.2
80000;14.8
160000;32
320000;70.6
640000;161.4
1280000;334.6
2560000;811
40000;3.2
80000;8.2
160000;19.4
320000;41.4
640000;95
1280000;226.4
2560000;581.2
40000;4.2
80000;8
160000;18.8
320000;43.4
640000;98
1280000;229
2560000;581.2
40000;6.6
80000;15
160000;35.8
320000;69
640000;162.6
1280000;345.2
2560000;802.4
40000;8.2
80000;13.8
160000;33.8
320000;67.8
640000;144.8
1280000;343.8
2560000;805.4
